Department - 4,,
,,
Account Code,Account Title,Status
1805,Student of Color Conference (EVP),A
1806,Student Organizing Summit (EVP),A
1901,Internal Vice President,A
1902,Circle 6 Mobile Safety App,A
2001,Presidents Office,A
2002,John Sarvey Award (Organization),A
2003,Michaels Leadership Award (Individuals),A
2101,Officers Stipends,A
2102,USA Secretary,A
2103,Administrative Overhead,A
2104,Judicial Board,A
2105,Finance Committee,A
2106,Elections Board,A
2107,Budget Review,A
2108,USAC Retreat,A
2109,Computer Information Center,A
2111,Compulsory Fee Refund,A
2112,USA Communal Space/Student Gov't Computer Center,A
2113,USAC Installation,A
2114,Office Space Allocation Committee (OSAC),A
2115,Awards,A
2116,APA Health C.A.R.E.,A
2121,Campus Retention Committee (NON USA FEE),A
2123,UCSA Contribution,A
2124,USSA Membership Fee,A
2125,Community Activity Committee (NON USA FEE),A
2126,Community Programs Office Fee (NON USA FEE),A
2127,Student Initiated Access Committee (NON USA FEE),A
2128,UCSA / USSA Travel Related,A
2131,Calpirg-USA,A
2132,Social Justice: Camps Programming Fund,A
2133,Social Justice: CPO Food Closet,A
2134,Social Justice: LGBT,A
2135,Social Justice: Cultural and Spiritual Student Programming,A
2136,Social Justice: Students w/Dependent Child Care Service Fd,A
2137,Social Justice: Academic Advancement Program,A
2138,Social Justice: Cultural and Recreational Affairs John Woode,A
2139,#UCLA Wellness Initiative - CAPS,A
2200,Global Medical Training @UCLA (GMT),A
2201,Afrikan Student Union (ASU),A
2202,Alpha Kappa Psi,A
2203,African Arts Ensemble,A
2204,Alpha Epsilon Phi,A
2205,American Indian Student Association (AISA),A
2206,AISA's Air Grant/LA Tribal,A
2207,Armenian Students Association (ASA),A
2208,Afrikan Education Project (AEP),A
2209,Al-Awda,A
2210,Alpha Lambda Delta/Phi Eta Sigma (ALD/PES),A
2211,Asian American Tutorial Project (AATP),A
2212,Amigos de UCLA,A
2213,Asian Pacific Coalition (APC),A
2214,Bruins for Recycling,A
2215,CAPSA (Refer to Dept Code 2707) same Group,D
2216,Bruin Partners,A
2217,College Bowl Club,A
2218,Association of Chinese Americans (ACA),A
2219,Clothesline Project,A
2220,Disabled Students Union,A
2221,Gala,A
2222,"Gamma Zeta Alpha Fraternity, Inc.",A
2223,Alpha Gamma Epsilon,A
2224,Habitat for Humanity (H4H),A
2225,Hermanas Unidas,A
2226,Le Cercle Francophone,A
2227,Indian Student Union (ISU),A
2228,"Folklore Society, UCLA",A
2229,Interfraternity Council (IFC),A
2230,"Alpha Kappa Alpha Sorority, Inc.",A
2231,International Student Association (ISA),A
2232,Nigerian Student Association (NSA),A
2233,Iranian Student Group (ISG),A
2234,Kappa Kappa Psi,A
2235,"Jewish Student Union, UCLA",A
2236,Mien Student Union,A
2237,La Familia de UCLA,A
2238,Latin Business Student Association (LBSA),A
2239,Latin American Student Association (LASA),A
2240,Pan-Asian Queers,A
2241,MEChA de UCLA - Movimiento Estudiantil Chicana/o de Aztlan,A
2242,Woodcraft Rangers,A
2243,Raza Youth Conference (RYC),A
2244,Chicanos/Latinos for Community Medicine (CCM),A
2245,Muslim Student Association (MSA),A
2246,Xinachtli Samohi Tutorial,A
2247,Conciencia Libre,A
2248,National Panhellenic Council (NPHC),A
2249,Pakistani Students Association (PSA),A
2250,(PREP) Pilipino Recruitment & Enrichment Prg.,A
2251,Panhellenic Council (Panhel),A
2252,Project WILD (Working for Immigrant Literacy Development),A
2253,Political Science Student Organization,A
2254,PSI CHI,A
2255,Raza Womyn de UCLA,A
2256,Rally Committee,A
2257,Black Pre-Health Organization (BPHO),A
2258,Phi Alpha Theta,A
2259,Samahang Pilipino,A
2260,Pre-Medical Peer Association,A
2261,Sangam,A
2262,SOLES-Society of Latino Engineers & Scientists,A
2263,SOZE,A
2264,SPARC,A
2265,Taiwanese American Union (TAU),A
2266,Thai Student Association (formerly Thai Smakom),A
2267,Transfer Student Alliance (TSA),A
2268,Undergrad. Research Jrnl Psychology,A
2269,Bruin Democrats,A
2270,Bruin Republicans,A
2271,United Arab Society (UAS),A
2272,Pediatric AIDS Coalition (Refer to Dept 1709 under SWC),D
2273,Vietnamese Student Union (VSU),A
2274,Chess Club @ UCLA,A
2275,Mobile Clinic Project at UCLA (MCP) (Undergrad/Grad),A
2276,QueerxGirl,A
2277,Buddhist Value Creation Society,A
2278,Chinese Students Association (CSA),A
2279,Club Capoeira Brasil,A
2280,Engineers without Borders,A
2281,VSU Alumni Scholarship,A
2282,Environmental Bruins,A
2283,World Arts & Cultures Undergraduate Society,A
2284,Nikkei Student Union (NSU),A
2285,Fluid,A
2286,Russian Club,A
2287,"Astrobiology Society, UCLA",A
2288,Asian American Multimedia Productions,A
2289,Students for Global Peace and Justice,A
2290,Undergraduate Spanish & Portuguese Association,A
2291,University Buddhist Association (UBA),A
2292,Hanoolim:Korean Cultural Awareness Group,A
2293,Tinig Choral,A
2294,Undergrad Investment Society (Refer to Dept Code 3046),D
2295,Ni Una Mas,A
2296,"N*gger, W*tback, Ch*nk",A
2297,American Medical Student Association (AMSA),A
2298,Alpha Phi Omega Service Fraternity,A
2299,Amnesty International,A
2300,Greek Week,A
2301,Contingency,A
2302,Contingency (Capital Items),A
2303,Student Leadership Fund,A
2305,Restricted Jun Jul Budget,A
2306,Brasil at UCLA,A
2307,Engineering Society of UCLA (ESUC),A
2308,United Cambodian Students,A
2309,ASHA-LA,A
2310,A Helping Hand,A
2311,"VITA-Volunteer Income Tax Assistance, UCLA",A
2312,Hong Kong Student Society (HKSS),A
2313,Mishpacha,A
2314,Alpha Epsilon Omega,A
2315,Golden Key International Honor Society,A
2316,Success Through Aspiring Black Leaders & Educators,A
2317,Queer Alliance,A
2318,"Lapu, the Coyote That Cares Theater Company (LCC)",A
2319,Latino Student Health Project,A
2320,Model United Nations,A
2321,Yolotzonyo (formerly Raza Youth Empowerment Project),A
2322,"Sailing Team, UCLA",A
2323,Shooting Club,A
2324,Sumo Club,A
2325,BlaQue,A
2326,Beta Kappa Nu,A
2327,Eagle Wing Club,A
2328,Sigma Nu Fraternity,A
2329,Delta Sigma Phi Fraternity,A
2330,Sigma Phi Epsilon Fraternity,A
2331,Beta Theta Pi Fraternity,A
2332,Phi Kappa Psi Fraternity,A
2333,Alpha Tau Omega Fraternity,A
2334,Theta Chi Fraternity,A
2335,Triangle Fraternity,A
2336,Pi Kappa Alpha Fraternity,A
2337,Sigma Pi Fraternity,A
2338,Delta Tau Delta Fraternity,A
2339,Japanese Students Association,A
2340,Alpha Epsilon Pi Fraternity,A
2341,Erin go Braugh,A
2342,"Kappa Alpha Psi Fraternity, Inc.",A
2343,Theta Xi Fraternity,A
2344,"Women's Club Soccer, UCLA",A
2345,"Fencing Team, UCLA",A
2346,Undergraduate Business Society (UBS),A
2347,Grupo Folklorico de UCLA,A
2348,Alpha Omega Alpha,A
2349,Delta Gamma Sorority,A
2350,"Delta Sigma Theta Sorority, Inc.",A
2351,Pi Kappa Phi Fraternity,A
2352,Mentorship Prg @ UCLA,A
2353,Mortar Board National Senior Honor Society,A
2354,Zeta Psi Fraternity,A
2355,Sigma Lambda Gamma Sorority Inc.,A
2356,"Japanese Animation Club, UCLA",A
2357,Turkish Student Association,A
2358,Raas Team at UCLA,A
2359,Society of Automotive Engineers (SAE),A
2360,ENGINuity,A
2361,Be Carded,A
2362,Latinas Guiding Latinas (LGL),A
2363,Projecting Minds,A
2364,FAST. UCLA (Fashion and Student Trends),A
2365,National Society of Collegiate Scholars,A
2366,Future Business Leaders of America (Phi Beta Lamdba),D
2367,La Gente Newsmagazine,A
2368,Zeta Beta Tau,A
2369,"Alpha Phi Alpha Fraternity, Inc.",A
2370,A Night of Cultura (Use dept 2996),D
2371,United Afghan Club (UAC),A
2372,Women's Studies Student Council,A
2373,Art History Undergraduate Association,A
2374,Sigma Alpha Mu,A
2375,Dialogue Society,A
2376,Pilipino Undergraduate Law Student Association,A
2377,Pre-Veterinary Society,A
2378,Bruin Tzu Ching (BTC),A
2379,"Enigma: The Sci-Fi, Fantasy & Gaming Club @ UCLA",A
2380,UNICEF @ UCLA,A
2381,University Lutheran Chapel,A
2382,Victory Campus Ministries,A
2383,Korean American Student Association (KASA),A
2384,"Men's Rowing Team, UCLA",A
2385,American Indian Science & Engineering Sty (AISES),A
2386,Associaton for Computing Machinery,A
2387,Lambda Theta Nu Sorority,A
2388,Music Club,A
2389,Yukai Daiko,A
2390,United Khmer Students (UKS),A
2391,Nu Alpha Kappa Fraternity Inc.,A
2392,Delta Phi Beta,A
2393,Chi Alpha Delta Sorority,A
2394,Sigma Pi Beta Fraternity,A
2395,Phi Lambda Rho Sorority Inc.,A
2396,Omega Sigma Tau Fraternity,A
2397,Delta Kappa Epsilon Fraternity,A
2398,"Students for Tsunami Relief, UCLA",A
2399,Asian Greeks of UCLA Council,D
2400,Ethnomusicology Undergraduate Student Orgranization,A
2401,University Students for the Ethical Treatment of Animals,A
2402,Mujeres Activas en Letras Y Cambio Social,A
2403,Sociology Undergraduate Association,A
2404,Central American Student Association,A
2405,Zeta Phi Rho Fraternity,A
2406,"Teo-Chew Association, UCLA",A
2407,Raza Undergraduate Grass Root Organization,A
2408,Youth Think Tank,A
2409,Student Coalition for Marriage Equality (SCME),A
2410,Afrikan Men's Collective (AMC),A
2411,Afrikan Womxn's Collective (AWC),A
2412,"Dragon Boat, UCLA Bruin",A
2413,Students for Community Service (formely CPOSA),A
2414,Darfur Action Committee @ UCLA,A
2415,"Beta Alpha Psi, UCLA",A
2416,Latino Greek Council UCLA (LGC),A
2417,Multi-Interest Greek Council (MIGC),A
2418,Bruin Debate,A
2419,Theta Kappa Phi,A
2420,AfterThought Theatre,A
2421,American Institute of Chemical Engineers (AICHE),A
2422,American Red Cross Club,A
2423,Archery Club,A
2424,Asian Baptist Student Koinonia,A
2425,Assyrian Student Association,A
2426,Ballroom Dance Club and International Folk Dance Club,A
2427,Bruin Medleys,A
2428,Chinese Cultural Dance Club (CCDC),A
2429,Every Nation Campus Ministries,A
2430,Fellowship for International Service and Health (FISH),A
2431,Global Medical Relief,A
2432,Hermanos Unidos @ UCLA,A
2433,Interstate 5 Entertainment,A
2434,Kappa Psi Epsilon Sorority,A
2435,Lebanese Social Club,A
2436,Nation 2 Nation,A
2437,Phi Sigma Rho,A
2438,Polaris Project,A
2439,Public Affairs Society,A
2440,Rejoyce in Jesus Campus Fellowship,A
2441,Robotics Club at UCLA,A
2442,Rotaract Club @ UCLA,A
2443,"Students for Community Outreach, Promotion and Ed. (SCOPE)",A
2444,ScatterTones,A
2445,Sex Worker's Outreach Project,A
2446,Discontinue SOLES (Society of Latino Engineers and Sci,D
2447,Society of Physic Students,A
2448,Tau Theta Pi Sorority,A
2449,Bhangra Team at UCLA,A
2450,Circle K International on Campus,A
2451,"Kashima-Shinyru Club, UCLA",A
2452,"Kendo, UCLA",A
2453,"March Dimes Collegiate Council, UCLA",A
2454,Asian Greek Council (AGC),A
2455,Student Affiliates American Chemical Society,A
2456,Futurists,A
2457,"Pre-Law Society, UCLA",A
2458,Neuroscience Undergraduate Society (NUS),A
2459,Hedrick hall Residents' Association,A
2460,Coalition to Defend Affirmative Action,A
2461,Undergraduate Mock Trial at UCLA,A
2462,Invisible Children,A
2463,Chi Alpha Christian Fellowship (CACF),A
2464,Bruin Battalion,A
2465,Liberty in North Korea (LINK) Refer to 2893,D
2466,First Ladies Club,A
2467,MTO Sufi Association,A
2468,Phi Delta Epsilon,A
2469,Dance Dance Revolution Club,A
2470,Hindu Students Association (formerly Council),A
2471,Baha'i Association at UCLA,A
2472,"Actuarial Club, UCLA",A
2473,"Hapa Club, UCLA",A
2474,Brazilian Student Association,A
2475,"Policy Debate, UCLA",A
2476,Refer to Dept Code 2860,D
2477,Greeks Advocating Mature Management of Alcohol (GAMMA),A
2478,"Alpha Delta Pi, UCLA",A
2479,Geography Association,A
2480,International Institute Student Association,A
2481,"Stroke Force @ UCLA, Center for Health Sciences",A
2482,LOGIC,A
2483,Undergraduate Communication Association,A
2484,Freshman Transfer Advisory Council,A
2485,LaFe,A
2486,Greeks Against Sexual Assault,A
2487,Hillel Jewish Students Association @ UCLA,A
2488,Project RISHI,A
2489,Undergraduate South Asian Law Association,A
2490,Undergraduate Film Festival Committee,A
2491,Colleges Against Cancer,A
2492,Delta Delta Delta,A
2493,Students for Justice in Palestine (SJP),A
2494,American Society of Civil Engineers,A
2495,"(E3) Ecology, Economy, Equity",A
2496,Bruins for Israel,A
2497,"Tau Beta Pi, the Engineering Honor Society",A
2498,Sigma Chi,A
2499,Chi Omega Sorority,A
2500,Green the Greeks,A
2501,USA Programming Fund,A
2502,Theatre Underground,A
2503,Beta Chi Theta,A
2504,Karisma Magazine,A
2505,Association of Hmong Students (AHS),A
2506,Tau Beta Sigma-Epsilon Kappa Chapter,A
2507,Kyodo Taiko,A
2508,Hui O 'Imiloa - Hawaii Club,A
2509,Chinese Cultural Dance Club (Refer to 2428),D
2510,Korean Culture Awareness Group(Han-Ool-Lim),D
2511,Feminist Majority Leadership Alliance,D
2512,California Student Sustainability Coalition at UCLA,A
2513,Undergraduate International Relations Society,A
2514,Women for Change Student Committee,A
2515,Teatro Revolver,A
2516,Undergraduate Linguistics,A
2517,Vagina Monoglogues,A
2518,Alpha Gamma Alpha Sorority,A
2519,Apostolos Campus Ministry,A
2520,Crossroads Campus Ministries,A
2521,Future Business Leaders of America (FBLA-PBL),A
2522,Feminist Majority Leadership Alliance (FMLA),A
2523,GAMMA,A
2524,Pilipinos in Engineering,A
2525,Pre-SOMA,A
2526,Revivalution,A
2527,SAYCO on Campus,A
2528,Sigma Gamma Rho,A
2529,Speech & Debate at UCLA,A
2530,Senior Class Giving Committee,A
2531,Hip Hop Congress at UCLA,A
2532,MAPS (Use Dept Code 2713),D
2533,AAVAA: Middle Eastern Dance and Music Group,A
2534,Alpha Phi International Sorority,A
2535,Asian Pacific Alumni Student Association,A
2536,Bruin Consulting,A
2537,Bruin Harmony,A
2538,Bruins for Obama,A
2539,Bruinvestors,A
2540,Children's Tumor Foundation,A
2541,Delta Lambda Phi,A
2542,Gamma Phi Beta,A
2543,Global Business Brigades,A
2544,Human Complex Systems Society (HCSS),A
2545,International Justice Mission @ UCLA,A
2546,Jewish Unofficial Sorority - YES!,A
2547,Kappa Delta Sorority,A
2548,MIghty Mic Human Rights Awareness Coalition,A
2549,Multi-Interest Greek Council (Refer to Dept 2417),D
2550,Persian American Jewish Organization,A
2551,Project Nicaragua,A
2552,Rainforest Action Network,A
2553,Sigma Alpha Zeta Sorority Inc.,A
2554,Sigma Delta Sigma Sorority,A
2555,Signature A Cappella,A
2556,Students for Sensible Drug Policy @ UCLA,A
2557,Refer to 2497: Tau Beta Pi Eng. Honor Society,D
2558,Team Up! UCLA & Ujima Village,A
2559,Advertising and Marketing Team,A
2560,Alpha Lambda Delta (REFER TO DEPT CODE 2210),D
2561,PASHA (Persian American Society for Healthcare Advancement),A
2562,College Republicans,A
2563,Refer to Dept 2698 (South Asian Music Association),D
2564,DESMA (Design Media Art Students),A
2565,Focus the Nation,A
2566,AIDS Outreach Alliance,A
2567,Bruin Business Review,A
2568,Bruin Live Theatre Company,A
2569,Business Ideas and Models,A
2570,ESLP-Education for Sustainable Living Program,A
2571,Veterans Service Organization (VSO),A
2572,NCAM - REFER TO DEPT CODE 2705,D
2573,One Heart Source,A
2574,Phi Gamma Nu,A
2575,Progressive Christians at UCLA,A
2576,Students for a Democratic Society,A
2577,Black Pre-Law Association (BPLA),A
2578,"Den, The",A
2579,SAME GRAD,A
2580,Student Promote Awareness North Korea,A
2581,"Island Vibrations Club at UCLA, The",A
2582,Forum for Energy Economics & Development,A
2583,Institute of Electrical & Electronic Engineers (IEEE),A
2584,Indonesian Bruin Student Assn (IBSA),A
2585,Interaxon,A
2586,Lambda Phi Epsilon Fraternity (LPE),A
2587,Law & Business Association (LBA),A
2588,Laotian American Organization (LAO) @ UCLA,I
2589,"Sigma Lambda Beta International Fraternity, Inc.",A
2590,National Assn of Hispanic Journalists (NAHJ),A
2591,Net Impact Undergrad @ UCLA,A
2592,Operation Smile,A
2593,Persian Society Of Community Outreach,A
2594,SLIDE-Student Leaders In Developing Economies,A
2595,Sports & Entertainment Business Network (SEBN),A
2596,Swing Club @ UCLA,A
2597,Tango Club @ UCLA,A
2598,Undergraduate Stock Trading Society @ UCLA,A
2599,Conning Tower,A
2601,CS Mini Fund,A
2602,Asian Pacific Health Corps (APHC),A
2603,Best Buddies UCLA,A
2604,Barrio Youth Alternatives (BaYA),A
2605,BRITE (Bruins Reforming Incarceration Through Education),A
2606,Pilipinos for Community Health (PCH),A
2607,SET: Project,D
2608,CHAMPS - Casa Heiwa Angelina Mentorship Program,A
2609,UCLA/GWHFC,A
2610,WYSE-Women & Youth Supporting Ea. Other,A
2611,Latino Student Health Student Association,A
2612,Delta Sigma Pi,A
2613,Inner Warmth,A
2614,proyecto de Jornaleros,A
2615,Pilipino Transfer Student Partnership (PTSP),A
2616,South Asian Health Association,A
2617,Sikh Student Association at UCLA,A
2618,Pacific Islands' Students Association (PISA),A
2619,Student Transfer Outreach and Mentor Program (STOMP),A
2620,Community Outreach for Prevention & Education,A
2621,Black Hypertension Project (Refer to Dept Code 2724),D
2622,Workman HS Empowerment Project,A
2623,Student Health Outreach Project at UCLA,A
2624,Unite for Sight,A
2625,UMMA Volunteer Project,A
2626,Bruin Hope: Project,A
2627,Students for International Change,A
2628,Reaching Bigger Goals (RBG): Project,A
2629,Black/Latino AIDS Project (BLAIDS),A
2630,Society for the Advancement of Excellence in Premed Ed.,A
2631,South East Youth Empowerment Project,A
2632,Student Run Homeless Clinics,A
2633,Fellowship for International Service and Health,D
2634,"MEDleys, UCLA",A
2635,Pre-Medical Asian Pacific American Medical Student Assn,A
2636,Society of Women Engineers (SWE),A
2637,FORGE Action Network,A
2638,Rieber Hall Resident's Association,A
2639,Education for Sustainable Living (ESL),D
2640,Night of Cultura (use dept. 2996),D
2641,Bruins for Animals,A
2642,Order of Omega,A
2643,Vietnamese Community Health (VCH) Project @ UCLA,A
2644,Internship Club,A
2645,Pre Dental Student Outreach,A
2646,LATINAS,A
2647,Student Activist Project,A
2648,Pre Medical Asian Pacific American Medical Student Associati,D
2649,Society for Biological Engineering,A
2650,HOOLIGAN Theater Company,A
2651,Catholic Students Association (CathSA),A
2652,4 Real HOP Institute,A
2653,batUCLAda,A
2654,Bruin Belles Service Association (BBSA),A
2655,RAWA Supporters,A
2656,Bruins United Improv Comedy Kraze,D
2657,Director's Association @ UCLA,A
2658,Fem-in-Art Symposium,A
2659,BUICK-Bruins United Improv Comedy Kraze,A
2660,"Interested Ladies of LTA ,Latin Sorority",A
2661,"IDEAS: Improving Dreams, Equality, Access & Success",A
2662,Social Justice Alliance,A
2663,Bruin Campaign for Burma,A
2664,KASEO-Korean American Students Ed. Outreach,A
2665,Regents Scholar Society (RSS),A
2666,Bruin Alliance of Skeptics & Secularists (BASS),A
2667,IDEAL Leaders Assn.,A
2668,La Joteria de UCLA,A
2669,Bruin Feminists for Equality,A
2670,African Sisters for Empowerment,A
2671,Bruins for the California Democracy Art,A
2672,Capoeira Brasil at UCLA,A
2673,Chi Epsilon,A
2674,Indian Cinema Society,A
2675,Invisible Chronic Illness Alliance,A
2676,Kappa Alpha Pi Pre-Law Fraternity at UCLA,A
2677,Kyrie Eleison,A
2678,Learn to Be,A
2679,Peer Support Network,A
2680,Coalition for Peace,A
2681,Bruin Initiative,A
2682,National Society of Black Engineers (NSBE),A
2683,"Lambda Theta Alpha Latin Sorority, Inc.",A
2684,HOPE 4 Homeless Project,A
2685,Burmese Student Association (BSA),A
2686,GlobeMed,A
2687,Interactivists,A
2688,Pre-Student Affairs Professionals Society (PSAPS),A
2689,Community Emergency Response Team (CERT),A
2690,Student of Color Conference/Coalition (SoCC),A
2691,"Academic Mentorship Program, The (AMP)",A
2692,Westwind,A
2693,World Vision Initiative at UCLA (WVIU),A
2694,Habesha Student Association (HSA),A
2695,Alpa Epsilon Delta: Health Pre-Prof. Honor Society,A
2696,China Care Bruins (CCB),A
2697,Film & Photography Society (FPS),A
2698,South Asian Performing Arts,A
2699,Asian American & Pacific Islander Undergrad. Assn. (APIUA),A
2700,Linux User Group (LUG),A
2701,Chinese Engineering Student Association,A
2702,Democracy Matters,A
2703,Wushu Club,A
2704,Nourish International,A
2705,Students for Integrative Medicine (formerly NCAM) SIM,A
2706,Camp Kesem,A
2707,CAPSA-Critical Asian & Pacific Islander Students 4 Action,A
2708,Historical Ballroom Dance Club at UCLA (HBDC),A
2709,Iranian Future Leaders,A
2710,rawXposure,A
2711,Bruin Linguists Society (BLing),A
2712,Union Salvadorena de Estudiantes Universitarios (USEU),A
2713,Mentors for Academic & Peer Support (MAPS),A
2714,Society of St. Vincent de Paul,A
2715,Alpha Gamma Omega,A
2716,Chabad at UCLA,A
2717,Won Together,A
2718,Alpha Epsilon Delta (AED),A
2719,Lambda Sigma Gamma,A
2720,Korean-American Scientist and Engineers Association (KASEA),A
2721,UCLA UNICAMP,A
2722,Community Medicine in Los Angeles (CM in K-T),A
2723,IMHOME,A
2724,Black Hypertension Project,A
2725,Black Business Student Assn (BBSA),A
2726,Act III Theatre Ensemble,A
2727,Alpha Phi Sorority,A
2728,Bruin Guardian Scholars Program,A
2729,Challah for Hunger,A
2730,Christian Students of Conscience,A
2731,CityLab at UCLA,A
2732,College Conservatives,A
2733,Eta Kappa Nu (HKN),A
2734,Global Medical Brigades at UCLA,A
2735,Incarcerated Youth Tutorial Project,A
2736,Interfraternity Council Executive Board (IFEC),A
2737,Kesher Enochi,A
2738,"Ladie of CDT-Challengin Mind, Driven Heart. True",A
2739,Maximizing Potential Abroad (MPA),A
2740,"Phi Alpha Delta, Law Fraternity Internat'l",A
2741,Public Affairs for Communities of Color (PACC),A
2742,Sigma Alpha Epsilon Pi Sorority,A
2743,Students for a Free Society,A
2744,The Wait List,A
2745,Upsilon Pi Epsilon,A
2746,"Writer's Den, The",A
2747,YOUTHphonics,A
2748,Campus Adventist Network,A
2749,Sigma Pi Sigma Psi Sorority,A
2750,HYPE (Refer to 2751),D
2751,Helping Young Pre-Meds EXCEL (HYPE),A
2752,Philosophy Club,A
2753,Laotian American Organization (LAO) at UCLA,A
2754,Thaqalayn Muslim Association,A
2755,Campus Network at UCLA,A
2756,Bruin Music Tutors,A
2757,Muslim Union,A
2758,Pediatric Aids (Use Dept Code 2272),D
2759,Real World Engineering,A
2760,Students Advocating Health Awareness,A
2761,Wish,A
2762,Eritrean Community Resource Network (ECRN),A
2763,Project Media Literacy,A
2764,Team HBV,A
2765,Bruin Bhangra,A
2766,BruINTENT,A
2767,Parenting Students at UCLA,A
2768,Active Minds (Refer to Dept 1710),D
2769,Jumpstart,A
2770,Together Educating Advocating Community & Health (TEACH),A
2771,Global HEED,A
2772,Effective Student Activism Collective (ESAC),A
2773,Swipe Out Hunger (formerly Swipes for the Homeless),A
2774,Aids Ambassadors at UCLA,A
2775,BioMedical Engineering Society (BMES),A
2776,Bruin S.E.E.D.S,A
2777,Bruins for Liberty,A
2778,Campus Crusade for Christ (CCC),A
2779,Cert at UCLA,A
2780,Chi Delta Theta,A
2781,Design for a Better Future,A
2782,Junior Youth Empowerment Program at UCLA,A
2783,Lambda chi Alpha,A
2784,Leadership and Educational Advancement Program (LEAP),A
2785,Live Action at UCLA-Bruins for Life,A
2786,Mac Users,A
2787,Men in Nursing Club,A
2788,Nursing Students at UCLA,A
2789,Phi Delta Theta Fraternity,A
2790,Pi Beta Phi Sorority,A
2791,Pre-Pharmacy Society,A
2792,Random Voices,A
2793,Roosevelt Institute Campus Network at UCLA,A
2794,SACNAS at UCLA,A
2795,Sigma Alpha Epsilon Fraternity,A
2796,Student Alumni Association (SAA),A
2797,"Uprising, The",A
2798,Yoga for Flexible Futures,A
2799,Social Dance Club (SDC),A
2800,FITTED: Winter Services Mondays and Wednesdays,D
2801,Afrikan Black Coalition,A
2802,SLAM! (formerly Student Leader Advocates of Music),A
2803,UGADA Association at UCLA,A
2804,Young Americans for Liberty,A
2805,Global Dance Club (GDC),A
2806,Sigma Eta Pi,A
2807,Black Statistician Student Association (BSSA),A
2808,Gamma Rho Lambda,A
2809,Bruin Atheists,A
2810,Bruins Fighting Pediatric Cancer,A
2811,Cardiovascular Research Associates,A
2812,Coalition for Action Against Rape,A
2813,Face AIDS,A
2814,"Lambda Theta Phi Latin Fraternity, Inc.",A
